id,org_name,full_name,link,type,scope,use_case,audience,amb_desc,amb_links,amb_badgerelpkg,disc_description,disc_features,disc_usage,part_message,part_contact,part_details
138211691,Axios,axiosvisuals/2018-06-18-four-globes,https://github.com/axiosvisuals/2018-06-18-four-globes/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No
131467041,Bustle,bustle/streaming-iterables,https://github.com/bustle/streaming-iterables/,General-Purpose Technology,Major,External,Technical,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
34290534,USA Today,USATODAY/facebook-moderated-comments,https://github.com/USATODAY/facebook-moderated-comments/,News Interaction Technology,Minor,Internal,Technical,Yes,No,No,No,No,No,No,No,No
40501530,BuzzFeed,buzzfeed/pyh3,https://github.com/buzzfeed/pyh3/,News Production Technology,Minor,Internal,Technical,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
109272032,The Philadelphia Inquirer,phillymedia/helmets-longform,https://github.com/phillymedia/helmets-longform/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,No,No,No,No
32106028,USA Today,USATODAY/race-together-quiz,https://github.com/USATODAY/race-together-quiz/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No
88195369,The Miami Herald,MiamiHerald/accuweather-stormdata-test,https://github.com/MiamiHerald/accuweather-stormdata-test/,Other,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,No,No,No,No
185702809,NBC News,nbcnews/SwiftFP,https://github.com/nbcnews/SwiftFP/,News Distribution Technology,Minor,Internal,Technical,No,No,No,No,No,No,No,No,No
3518295,The Atlantic,theatlantic/django-mysqlndb-backend,https://github.com/theatlantic/django-mysqlndb-backend/,News Distribution Technology,Minor,External,Technical,Yes,Yes,Yes,Yes,No,Yes,No,No,No
72795508,The Oregonian,TheOregonian/data_stories,https://github.com/TheOregonian/data_stories/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No
2125782,The Atlantic,theatlantic/django-chosen,https://github.com/theatlantic/django-chosen/,General-Purpose Technology,Minor,External,Technical,No,Yes,No,Yes,Yes,Yes,No,No,No
33943002,New York Magazine,nymag/gulp-folder-changed,https://github.com/nymag/gulp-folder-changed/,General-Purpose Technology,Minor,External,Technical,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
141489788,Bleacher Report,br/sm-coding-challenge,https://github.com/br/sm-coding-challenge/,Other,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,No
16280110,Gizmodo,gawkermedia/grunt-soysauce,https://github.com/gawkermedia/grunt-soysauce/,General-Purpose Technology,Minor,External,Technical,Yes,No,Yes,Yes,Yes,Yes,No,No,No
37377578,USA Today,USATODAY/scotus-tracker,https://github.com/USATODAY/scotus-tracker/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No
82819486,The Dallas Morning News,DallasMorningNews/interactive_buz,https://github.com/DallasMorningNews/interactive_buz/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,No,No,No,No
87489855,The Los Angeles Times,datadesk/construction-jobs-analysis,https://github.com/datadesk/construction-jobs-analysis/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No
28060248,The New Yorker,newyorker/github-sound-notifications,https://github.com/newyorker/github-sound-notifications/,General-Purpose Technology,Minor,External,Non-Technical,Yes,Yes,No,Yes,No,Yes,No,Yes,No
416089846,Axios,axiosvisuals/batch-datawrapper-generator,https://github.com/axiosvisuals/batch-datawrapper-generator/,News Production Technology,Minor,External,Non-Technical,Yes,Yes,No,Yes,Yes,Yes,No,No,No
50503998,The New York Times,nytimes/public_api_specs,https://github.com/nytimes/public_api_specs/,Education and Events,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
184487700,The St. Louis Post-Dispatch,PostDispatchInteractive/parks,https://github.com/PostDispatchInteractive/parks/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,No
99627686,Politico,The-Politico/politico-megadraft-ad-plugin,https://github.com/The-Politico/politico-megadraft-ad-plugin/,News Production Technology,Minor,Internal,Non-Technical,No,Yes,No,No,No,Yes,No,No,No
54504407,The Orlando Sentinel,OrlandoSentinel/development-guidelines,https://github.com/OrlandoSentinel/development-guidelines/,Education and Events,Not Applicable,Not Applicable,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No
56090802,The South Florida Sun-Sentinel,SunSentinel/florida-shapefiles,https://github.com/SunSentinel/florida-shapefiles/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No
115027797,The Milwaukee Journal-Sentinel,datahub/snow,https://github.com/datahub/snow/,News Production Materials,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,No,Yes,No,No,No,No
146214603,Politico,The-Politico/module_district-locator-map,https://github.com/The-Politico/module_district-locator-map/,News Production Technology,Minor,Internal,Non-Technical,No,Yes,No,Yes,No,Yes,No,No,No
44112330,Vox,voxmedia/sass-theme-template-loader,https://github.com/voxmedia/sass-theme-template-loader/,News Distribution Technology,Minor,External,Technical,Yes,No,No,Yes,Yes,Yes,No,No,No
329433686,NJ Local News,njam-data/NJCI-Styles,https://github.com/njam-data/NJCI-Styles/,News Production Technology,Minor,Internal,Non-Technical,Yes,Yes,No,Yes,Yes,Yes,No,No,No
257608360,CBS News,cbsinteractive/transcode-orchestrator,https://github.com/cbsinteractive/transcode-orchestrator/,News Distribution Technology,Major,External,Technical,Yes,Yes,Yes,Yes,No,Yes,No,No,No
123020031,NBC News,nbcnews/fe-coding-challenge,https://github.com/nbcnews/fe-coding-challenge/,Other,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,No
64788127,Vox,voxmedia/setup-vox-rig,https://github.com/voxmedia/setup-vox-rig/,General-Purpose Technology,Minor,Internal,Non-Technical,Yes,No,No,Yes,Yes,Yes,No,No,No
112245240,The Wall Street Journal,WSJ/two-step,https://github.com/WSJ/two-step/,News Interaction Technology,Minor,External,Technical,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
422634012,The Arizona Daily Republic,Arizona-Republic-Data/vanilla-searchable-database-template,https://github.com/Arizona-Republic-Data/vanilla-searchable-database-template/,News Interaction Technology,Minor,Internal,Technical,Yes,Yes,No,Yes,Yes,Yes,No,No,No
