id,fork_status,fork_ahead_by,fork_behind_by,fork_total_commits
100143478,diverged,2,5,2
100642823,ahead,168,0,168
101209029,ahead,3,0,3
101451821,diverged,6,2,6
101499523,behind,0,7,0
101773918,behind,0,2,0
101793038,diverged,12,10,12
101816097,behind,0,1,0
101821412,behind,0,1,0
10205309,behind,0,221,0
10227100,diverged,174,88,174
102636887,behind,0,7,0
10266858,diverged,8,10,8
102752100,diverged,3,2,3
102783515,behind,0,5429,0
102784704,behind,0,245,0
102900766,diverged,9,314,9
103116196,diverged,5,2,5
103275252,diverged,1,74,1
103285284,diverged,18,22,18
103300477,diverged,4,252,4
103550220,behind,0,5,0
103576857,diverged,1,288,1
103692674,identical,0,0,0
104110164,diverged,2,383,2
104375795,ahead,1,0,1
104384265,diverged,2,463,2
105065238,behind,0,3,0
105070685,behind,0,38,0
105295750,diverged,3645,13394,3645
10551259,diverged,1,217,1
105638132,ahead,3,0,3
105761114,diverged,13,52,13
105771790,diverged,12,20,12
10631911,diverged,8,8,8
106425773,behind,0,88,0
10643403,behind,0,905,0
106571273,behind,0,128,0
10675102,behind,0,2045,0
10680884,diverged,2,18918,2
106856527,behind,0,580,0
107408278,behind,0,92,0
107470649,behind,0,172,0
107718510,behind,0,10,0
107873021,identical,0,0,0
107887715,diverged,6,327,6
108033273,diverged,4,87,4
108181797,diverged,1,8,1
108197244,diverged,2,33,2
108882094,identical,0,0,0
108882167,identical,0,0,0
109018566,diverged,6,167,6
109057014,behind,0,15,0
109284583,diverged,2,12,2
10951987,identical,0,0,0
1096605,diverged,1,23,1
110004591,ahead,1,0,1
110066628,diverged,6,2,6
110591795,behind,0,5,0
110596133,behind,0,457,0
110694703,diverged,58,2,58
110744745,diverged,26,10,26
111597387,diverged,6,13,6
11202786,identical,0,0,0
112221133,behind,0,29,0
112241021,diverged,25,17,25
112775605,identical,0,0,0
112779685,diverged,1,340,1
113206526,behind,0,1,0
113503555,identical,0,0,0
113897606,behind,0,6,0
114011987,behind,0,108,0
114013086,diverged,412,230,412
11411297,behind,0,186,0
114416028,diverged,7,7,7
11453980,diverged,19,138,19
11455312,behind,0,45,0
114691122,behind,0,12089,0
11512395,behind,0,32,0
115737561,identical,0,0,0
11581102,behind,0,3563,0
116035154,identical,0,0,0
116064199,diverged,8,56,8
116169076,diverged,1,4,1
116847316,behind,0,2777,0
117001048,diverged,4,1,4
117001291,diverged,1,8,1
117008755,diverged,3,26,3
117266063,diverged,11,52,11
117673061,behind,0,10,0
118181167,diverged,5,511,5
118502218,behind,0,41,0
118512895,diverged,2,46,2
11852407,behind,0,1047,0
118759689,diverged,1,35,1
118976878,behind,0,358,0
119137,identical,0,0,0
11930759,ahead,7,0,7
119529106,behind,0,162,0
11955271,diverged,4,57,4
120350798,behind,0,42,0
120516404,ahead,2,0,2
12051933,identical,0,0,0
120520934,diverged,61,75,61
120808474,identical,0,0,0
12113825,behind,0,88,0
12116390,ahead,5,0,5
121406737,behind,0,385,0
1219599,identical,0,0,0
12221835,ahead,7,0,7
122643621,diverged,4,14,4
12302094,identical,0,0,0
123180235,diverged,4,56,4
123188780,ahead,1,0,1
123300613,identical,0,0,0
123424667,behind,0,16747,0
123485057,behind,0,302,0
12383002,ahead,66,0,66
12389539,identical,0,0,0
123911642,diverged,2,379,2
123972505,diverged,1,213,1
1243437,diverged,144,2,144
12436244,diverged,3,1480,3
12436264,diverged,4,5377,4
124415223,identical,0,0,0
12462757,diverged,5,256,5
12497335,identical,0,0,0
125537362,diverged,668,350,668
125557324,behind,0,7119,0
125883651,ahead,38,0,38
125927269,behind,0,72,0
125946048,ahead,2,0,2
126224406,diverged,7,416,7
12629910,diverged,267,468,267
126322018,diverged,10,55,10
126518400,behind,0,2,0
126522554,behind,0,14,0
126523220,identical,0,0,0
126546133,behind,0,46,0
1269124,diverged,29,778,29
126954117,ahead,1,0,1
127110288,diverged,1,12,1
127322760,diverged,3,95,3
127374789,behind,0,5,0
127820584,diverged,1,1,1
12785537,behind,0,643,0
127918547,diverged,5,178,5
127952384,behind,0,393,0
128124692,identical,0,0,0
128124710,identical,0,0,0
128124770,identical,0,0,0
128124804,identical,0,0,0
128124842,identical,0,0,0
128124874,identical,0,0,0
128211759,diverged,14,1,14
128243138,ahead,1,0,1
128387766,identical,0,0,0
128769528,behind,0,432,0
128784616,identical,0,0,0
128840557,diverged,11,19,11
129007040,behind,0,93,0
1295588,behind,0,15,0
12961536,ahead,69,0,69
1300214,behind,0,40138,0
130372200,identical,0,0,0
130571598,diverged,1,9,1
130988743,behind,0,36,0
130996350,diverged,1,13,1
131047979,diverged,18,22,18
131204371,ahead,1,0,1
131210810,behind,0,19,0
131622631,diverged,2,3069,2
131645252,behind,0,4313,0
131842228,identical,0,0,0
131866442,behind,0,2,0
132163814,ahead,2,0,2
132635696,diverged,1,52,1
132655986,behind,0,1,0
132739122,diverged,1,1,1
132803622,behind,0,102,0
133046283,diverged,43,2,43
133541455,diverged,8,8,8
133714508,ahead,1,0,1
133779450,behind,0,2860,0
134280907,diverged,1,319,1
134323755,identical,0,0,0
134508063,behind,0,77,0
135339865,ahead,2,0,2
135394818,ahead,1,0,1
135396448,behind,0,25,0
135721815,behind,0,778,0
13624618,diverged,6,148,6
13650016,behind,0,111,0
1365409,behind,0,1747,0
136633309,behind,0,10,0
136927549,diverged,3,238,3
137257849,behind,0,16491,0
137270916,behind,0,145,0
137529810,behind,0,1,0
137785585,identical,0,0,0
13779573,diverged,2,44,2
137871728,behind,0,72,0
138184443,behind,0,43,0
138200633,diverged,6,547,6
138346044,ahead,4,0,4
138347283,ahead,30,0,30
138604738,diverged,4,12,4
138796652,behind,0,7166,0
13928560,diverged,5,210,5
139476338,ahead,2,0,2
14024098,behind,0,4,0
140334886,diverged,3,105,3
140624409,ahead,12,0,12
140758507,ahead,3,0,3
141165593,ahead,2,0,2
141317531,ahead,25,0,25
141321886,behind,0,11,0
14153534,diverged,1,600,1
141618312,behind,0,49,0
141722267,diverged,3,251,3
141732133,behind,0,9,0
1421913,diverged,57,233,57
142193739,diverged,1,198,1
1424252,diverged,2,237,2
142914975,behind,0,8,0
143058048,behind,0,7,0
143137881,diverged,2,35,2
143154158,behind,0,940,0
14331839,diverged,1,252,1
143405479,diverged,5,4,5
143666755,diverged,6,2,6
14379198,identical,0,0,0
144018810,diverged,4,3,4
144199717,identical,0,0,0
144731290,behind,0,97,0
144872470,diverged,1,1459,1
145135815,diverged,2,216,2
145414178,identical,0,0,0
145414257,identical,0,0,0
147219326,identical,0,0,0
14757197,ahead,2,0,2
14757283,behind,0,31,0
14757295,identical,0,0,0
14757394,diverged,9,126,9
14757415,behind,0,3,0
14757431,identical,0,0,0
14757442,identical,0,0,0
14757480,identical,0,0,0
14757492,behind,0,48,0
14757495,identical,0,0,0
14757502,behind,0,6,0
14757515,behind,0,7,0
14757528,behind,0,18,0
14757545,identical,0,0,0
14757584,behind,0,5,0
14757724,behind,0,13,0
14757730,identical,0,0,0
14757739,behind,0,5,0
14757745,behind,0,2083,0
14757751,identical,0,0,0
14757753,identical,0,0,0
14757763,behind,0,1,0
14757771,behind,0,58,0
14757781,behind,0,427,0
148836441,identical,0,0,0
148933958,identical,0,0,0
14950948,diverged,2,4,2
14952422,diverged,1,1402,1
14952927,diverged,1,657,1
14958604,behind,0,4,0
150239261,behind,0,26711,0
150284288,ahead,125,0,125
150574778,behind,0,312,0
151241876,behind,0,71,0
151263128,behind,0,14,0
151294363,diverged,32,8,32
15149852,behind,0,1168,0
151541325,diverged,26,991,26
151742409,diverged,14,10,14
151754136,behind,0,1,0
152808280,behind,0,705,0
153121927,diverged,7,669,7
153511699,behind,0,570,0
153514574,behind,0,2,0
153514713,behind,0,12,0
153515192,identical,0,0,0
153515293,identical,0,0,0
153515776,behind,0,1,0
153515822,identical,0,0,0
154702743,identical,0,0,0
154723088,behind,0,41,0
155595391,behind,0,115,0
155702081,identical,0,0,0
155736491,diverged,15,6243,15
155995885,diverged,2,31,2
156222428,behind,0,47,0
156244858,diverged,16,68,16
156245039,diverged,2,19,2
156260772,identical,0,0,0
156412167,diverged,72,18953,72
15708507,ahead,3,0,3
157274859,diverged,2,1,2
157391464,diverged,2,125,2
157443999,diverged,7,14,7
157495845,diverged,1,300,1
157621988,identical,0,0,0
15768820,ahead,7,0,7
157744761,identical,0,0,0
157745798,identical,0,0,0
15776379,diverged,274,3,274
1581439,ahead,5,0,5
158232548,diverged,13,30,13
159382441,behind,0,107,0
159727352,identical,0,0,0
15974621,ahead,12,0,12
16006542,diverged,6,605,6
160425917,behind,0,58,0
160841967,behind,0,3150,0
161348636,diverged,17,16,17
161531379,ahead,9,0,9
16175834,ahead,18,0,18
162296461,behind,0,8,0
16335101,ahead,7,0,7
164095429,diverged,21,57,21
165136722,ahead,1,0,1
165229642,behind,0,91,0
16551707,diverged,1,59,1
165908454,identical,0,0,0
166206258,behind,0,2942,0
16630561,diverged,14,312,14
166806224,behind,0,388,0
167056303,diverged,5,3,5
167071835,behind,0,3,0
167160912,ahead,3,0,3
167252025,behind,0,1,0
16741885,behind,0,63,0
16745597,diverged,1,3,1
167456396,identical,0,0,0
167458474,diverged,2,1,2
167458968,behind,0,2,0
168004195,identical,0,0,0
168505793,diverged,7,180,7
169263653,identical,0,0,0
169311005,diverged,9,1,9
16932151,ahead,12,0,12
169499518,diverged,14,417,14
169557839,behind,0,8,0
169786446,diverged,1,50,1
169932094,behind,0,11,0
170021537,identical,0,0,0
17026161,diverged,1,1,1
17026238,diverged,5,1,5
170483935,behind,0,11,0
170588081,ahead,7,0,7
170606892,behind,0,11,0
17068014,diverged,2,29,2
170690567,diverged,5,111,5
170789426,diverged,1,23,1
171275805,behind,0,11,0
171331009,diverged,1,25,1
17136000,identical,0,0,0
17148155,identical,0,0,0
171643915,diverged,1,7398,1
171682969,diverged,20,638,20
17172484,behind,0,11323,0
172274241,behind,0,28,0
172745077,behind,0,67,0
172911284,behind,0,165,0
173290527,behind,0,6,0
173344580,identical,0,0,0
173789305,diverged,1,4,1
173916598,behind,0,3,0
173993625,behind,0,9,0
174517336,behind,0,335,0
175098301,behind,0,9,0
175195126,behind,0,182,0
175462004,diverged,1,8,1
1755337,behind,0,352,0
17599190,diverged,1,175,1
176709331,behind,0,396,0
176740530,behind,0,75,0
17682159,diverged,10,14,10
