repo_id,repo_owner,repo_name,repo_scraped
152587655,striblab,byte-club,Yes
38364340,bbc,grunt-cucumberjs,Yes
58409798,PostDispatchInteractive,datawrapper,Yes
211387915,seattletimes,orca-action,Yes
193881515,bbc,fcpx-xml-composer,Yes
51402494,nprapps,austin16,Yes
135721815,axioscode,enzyme,Yes
500645773,guardian,old-2017-census-interactive,Yes
494527637,bbc,iplayer-web-code-pipeline-prototype,Yes
69379571,MiamiHerald,data-viz_starter,Yes
5197187,theatlantic,celery,Yes
460790997,guardian,webpack-messages,Yes
21957737,associatedpress,geomancer,Yes
39397639,nprapps,portland,Yes
57084561,datadesk,python-desknet,Yes
1550606,bbc,UCMythTV,Yes
126522554,bloomberg,shc,Yes
469835178,guardian,pluto-storagetier,Yes
39448993,guardian,slackhack-style-bot,Yes
94946201,seattletimes,pike-place-market-videos,Yes
32106028,USATODAY,race-together-quiz,Yes
338460917,sdut-datadesk,veil-of-darkness-sdpd,Yes
93671184,bloomberg,gensim,Yes
76383141,theatlantic,ngx_http_dyups_module,Yes
106828862,guardian,aws-microservice-avoce,Yes
280503195,br,jira-automatic-epic-updater,Yes
105638132,guardian,android-build-environment,Yes
341224941,bbc,df-1201-iplayer-category-usage,Yes
102784457,phillymedia,pvietnam,Yes
151241876,bbc,red5-server-common,Yes
37747526,WSJ,pinpoint-editor,Yes
122638167,BuzzFeedNews,2018-02-olympic-figure-skating-analysis,Yes
62677021,seattletimes,fire-line,Yes
186448134,br,wysiwyg-rails,Yes
75967216,seattletimes,seahawks-injuries,Yes
398220000,guardian,tool-discovery,Yes
85687308,buzzfeed,annotator,Yes
226965153,axioscode,hub,Yes
101191147,striblab,nutt,Yes
334901594,bbc,gnl-aws-elasticache-cluster-client-memcached-for-php,Yes
305712218,guardian,ophan-backfill-step-function,Yes
50616615,bloomberg,kubernetes-cluster-cookbook,Yes
63412640,guardian,grid-supplier-weight-sort,Yes
75031880,BuzzFeedNews,2016-11-grading-the-election-forecasts,Yes
35942499,guardian,interactive-sharkstorm,Yes
189372077,guardian,qa-tools-index,Yes
932356,datadesk,jquery-shareify,Yes
81150308,sfchronicle,protest-map,Yes
419134229,seattletimes,wa-cares-2021,Yes
68051578,seattletimes,cuba-package,Yes
116028464,The-Politico,politico-civic,Yes
305817107,voxmedia,identity-library,Yes
103576857,The-Politico,html2canvas,Yes
15169976,guardian,guss-css3,Yes
46593265,seattletimes,Apple-Cup-top-moments,Yes
26335889,denverpost,gametracker,Yes
72669511,MiamiHerald,data-viz_us-electoral-vote-slider,Yes
40265393,denverpost,random-name-generator,Yes
32110034,br,greenhouse,Yes
360526133,guardian,accessibility,Yes
80837501,guardian,interactive-atom-food,Yes
469711594,guardian,pluto-deliverable-receiver,Yes
116847316,refinery29,verdaccio,Yes
93487328,bbc,tcp-to-udp,Yes
65768320,denverpost,footer-javascript,Yes
53619838,guardian,data-projector,Yes
297712283,npr,json-schema-core,Yes
203237719,njam-data,uof-data-cleaning-1,Yes
56333438,guardian,timeline-test-with-map,Yes
92108021,seattletimes,swedish-scheduling,Yes
137128357,bleacherreport,carrot,Yes
17400921,guardian,open-module,Yes
166328843,seattletimes,reduced-lunch-schools,Yes
67745864,buzzfeed-openlab,shots-fired,Yes
106861847,cnnlabs,babel-preset-cnn-starter-module,Yes
21277584,guardian,windsock,Yes
86731607,BostonGlobe,FYI,Yes
90993470,guardian,fulfilment-lambdas,Yes
152809128,bbc,toolshed-sonarqube,Yes
87980462,denverpost,roundup,Yes
454027545,bbc,bbcrd-identical,Yes
145123807,guardian,interactive-sea-ice-embed,Yes
49672059,nytimes,encoding-wrapper,Yes
141156540,baltimore-sun-data,sri-hash,Yes
242799430,guardian,automat-client,Yes
51704176,cnnlabs,generator-cnn-cli,Yes
75952976,voxmedia,eslint-config-voxproduct,Yes
66038146,sfchronicle,election2016,Yes
154174379,bloomberg,p1160,Yes
141504612,seattletimes,apt-planning,Yes
24367621,bbc,kandl-style-guide,Yes
495481915,guardian,scala-book-club-foundations,Yes
80403887,guardian,interactive-cities-pollution,Yes
128807919,guardian,interactive-atom-2018-grenfell,Yes
21754465,nytimes,license,Yes
17283864,guardian,scribe-plugin-blockquote-command,Yes
181697984,BuzzFeedNews,2019-04-democratic-candidate-codonors,Yes
23617978,guardian,element-graphite-metrics,Yes
367334945,guardian,giant,Yes
128243138,refinery29,Bespoke-Revlon-Map,Yes
46446499,washingtonpost,dropwizard-json-exceptions,Yes
111573586,guardian,review-list-enhancer-2017,Yes
82851098,nydailynews,longform,Yes
46342665,guardian,atom-cold-storage-hackday-2015,Yes
59854670,nbcnews,NMW,Yes
103567016,voxmedia,revenue-hiring,Yes
103303105,BostonGlobe,travelMap,Yes
21240506,voxmedia,pixelpunch,Yes
146442860,The-Politico,module_density-rank-chart,Yes
1269124,theatlantic,django-taggit,Yes
86866373,seattletimes,sports-scoreboard,Yes
47687734,bbc,device-switcher,Yes
2180883,br,rack-mobile-detect,Yes
97275524,seattletimes,ceo-pay-2017,Yes
44552392,npr,javascript,Yes
458969938,guardian,self-assessment,Yes
82305077,nprapps,s3-bulk-acl,Yes
21285178,TimeMagazine,redistrict_america,Yes
128224486,guardian,interactive-transport,Yes
89379608,guardian,support-internationalisation,Yes
183785076,datadesk,hsr-document-analysis,Yes
276952157,guardian,interactive-mental-wellbeing,Yes
